,importance
release_year,0.4275088589313546
type_TV Show,0.266165241172328
type_Movie,0.22279045780223053
platform_Amazon Prime,0.044033042039253595
platform_Netflix,0.02533908497551965
platform_Disney+,0.01416331507931354
