title,type,release_year,genres,platform,content_rating,imdb_rating,imdb_votes,country,tconst
Dick Johnson Is Dead,Movie,2020,Documentaries,Netflix,PG-13,7.4,7560.0,US,tt11394180
Blood & Water,TV Show,2021,International TV Shows | TV Dramas | TV Mysteries,Netflix,TV-MA,6.7,4705.0,CA,tt9839146
Ganglands,TV Show,2021,Crime TV Shows | International TV Shows | TV Action & Adventure,Netflix,TV-MA,7.2,4934.0,FR,tt13278100
Jailbirds New Orleans,TV Show,2021,Docuseries | Reality TV,Netflix,TV-MA,6.5,338.0,CA,tt15320436
Kota Factory,TV Show,2021,International TV Shows | Romantic TV Shows | TV Comedies,Netflix,TV-MA,,,,
Midnight Mass,TV Show,2021,TV Dramas | TV Horror | TV Mysteries,Netflix,TV-MA,7.7,163639.0,AU,tt10574558
My Little Pony: A New Generation,Movie,2021,Children & Family Movies,Netflix,PG,6.8,4977.0,ID,tt10101702
Sankofa,Movie,1993,Dramas | Independent Movies | International Movies,Netflix,TV-MA,7.0,884.0,FR,tt0108041
The Great British Baking Show,TV Show,2021,British TV Shows | Reality TV,Netflix,TV-14,,,,
The Starling,Movie,2021,Comedies | Dramas,Netflix,PG-13,6.4,16631.0,EG,tt5164438
"Vendetta: Truth, Lies and The Mafia",TV Show,2021,Crime TV Shows | Docuseries | International TV Shows,Netflix,TV-MA,6.7,373.0,NL,tt14216574
Bangkok Breaking,TV Show,2021,Crime TV Shows | International TV Shows | TV Action & Adventure,Netflix,TV-MA,5.9,461.0,GB,tt14202282
Je Suis Karl,Movie,2021,Dramas | International Movies,Netflix,TV-MA,5.6,1703.0,ES,tt9205538
Confessions of an Invisible Girl,Movie,2021,Children & Family Movies | Comedies,Netflix,TV-PG,5.3,1567.0,NL,tt15204288
Crime Stories: India Detectives,TV Show,2021,British TV Shows | Crime TV Shows | Docuseries,Netflix,TV-MA,7.0,1240.0,CA,tt14178956
Dear White People,TV Show,2021,TV Comedies | TV Dramas,Netflix,TV-MA,,,,
Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,2020,Documentaries | International Movies,Netflix,TV-MA,6.7,380.0,ES,tt11564588
Falsa identidad,TV Show,2020,Crime TV Shows | Spanish-Language TV Shows | TV Dramas,Netflix,TV-MA,,,,
Intrusion,Movie,2021,Thrillers,Netflix,TV-14,5.3,23904.0,EC,tt5563324
Jaguar,TV Show,2021,International TV Shows | Spanish-Language TV Shows | TV Action & Adventure,Netflix,TV-MA,5.8,2389.0,EC,tt11698590
Monsters Inside: The 24 Faces of Billy Milligan,TV Show,2021,Crime TV Shows | Docuseries | International TV Shows,Netflix,TV-14,6.3,5260.0,TH,tt15287836
Resurrection: Ertugrul,TV Show,2018,International TV Shows | TV Action & Adventure | TV Dramas,Netflix,TV-14,,,,
Avvai Shanmughi,Movie,1996,Comedies | International Movies,Netflix,TV-PG,,,,
Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,2021,Children & Family Movies,Netflix,TV-Y,6.6,67.0,AU,tt15296598
Jeans,Movie,1998,Comedies | International Movies | Romantic Movies,Netflix,TV-14,6.5,4293.0,CA,tt0151121
Love on the Spectrum,TV Show,2021,Docuseries | International TV Shows | Reality TV,Netflix,TV-14,,,,
Minsara Kanavu,Movie,1997,Comedies | International Movies | Music & Musicals,Netflix,TV-PG,6.7,1476.0,IN,tt0274789
Grown Ups,Movie,2010,Comedies,Netflix,PG-13,6.0,304690.0,EG,tt1375670
Dark Skies,Movie,2013,Horror Movies | Sci-Fi & Fantasy,Netflix,PG-13,6.3,83777.0,IN,tt2387433
Paranoia,Movie,2013,Thrillers,Netflix,PG-13,5.6,40138.0,CL,tt1413495
Ankahi Kahaniya,Movie,2021,Dramas | Independent Movies | International Movies,Netflix,TV-14,5.6,1055.0,PH,tt15250998
Chicago Party Aunt,TV Show,2021,TV Comedies,Netflix,TV-MA,5.7,2625.0,SG,tt15125616
Sex Education,TV Show,2020,British TV Shows | International TV Shows | TV Comedies,Netflix,TV-MA,8.2,387946.0,PH,tt7767422
Squid Game,TV Show,2021,International TV Shows | TV Dramas | TV Thrillers,Netflix,TV-MA,8.0,725918.0,KR,tt10919420
Tayo and Little Wizards,TV Show,2020,Kids' TV,Netflix,TV-Y7,,,,
The Father Who Moves Mountains,Movie,2021,Dramas | International Movies | Thrillers,Netflix,TV-MA,5.6,4464.0,DE,tt8886670
The Stronghold,Movie,2021,Action & Adventure | Dramas | International Movies,Netflix,TV-MA,6.9,15301.0,IT,tt10404944
Angry Birds,TV Show,2018,Kids' TV | TV Comedies,Netflix,TV-Y7,,,,
Birth of the Dragon,Movie,2017,Action & Adventure | Dramas,Netflix,PG-13,5.7,9262.0,IN,tt2720826
Chhota Bheem,TV Show,2021,Kids' TV,Netflix,TV-Y7,,,,
He-Man and the Masters of the Universe,TV Show,2021,Kids' TV | TV Sci-Fi & Fantasy,Netflix,TV-Y7,5.9,2387.0,IN,tt11465278
Jaws,Movie,1975,Action & Adventure | Classic Movies | Dramas,Netflix,PG,8.1,721356.0,TH,tt0073195
Jaws 2,Movie,1978,Dramas | Horror Movies | Thrillers,Netflix,PG,5.8,91141.0,IN,tt0077766
Jaws 3,Movie,1983,Action & Adventure | Horror Movies | Thrillers,Netflix,PG,3.7,52029.0,EC,tt0085750
Jaws: The Revenge,Movie,1987,Action & Adventure | Horror Movies | Thrillers,Netflix,PG-13,3.1,52870.0,GB,tt0093300
My Heroes Were Cowboys,Movie,2021,Documentaries,Netflix,PG,,,,
Safe House,Movie,2012,Action & Adventure,Netflix,R,6.7,246855.0,IN,tt1599348
The Smart Money Woman,TV Show,2020,International TV Shows | Romantic TV Shows | TV Comedies,Netflix,TV-MA,6.7,149.0,IT,tt12428002
Training Day,Movie,2001,Dramas | Thrillers,Netflix,R,7.8,506035.0,US,tt0139654
Castle and Castle,TV Show,2021,International TV Shows | TV Dramas,Netflix,TV-MA,,,,
Dharmakshetra,TV Show,2014,International TV Shows | TV Dramas | TV Sci-Fi & Fantasy,Netflix,TV-PG,8.5,443.0,AE,tt6803712
InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,2002,Action & Adventure | Anime Features | International Movies,Netflix,TV-14,7.3,2500.0,FR,tt0366621
InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,2003,Action & Adventure | Anime Features | International Movies,Netflix,TV-14,7.6,2550.0,EC,tt0396659
InuYasha the Movie 4: Fire on the Mystic Island,Movie,2004,Action & Adventure | Anime Features | International Movies,Netflix,TV-PG,7.1,2131.0,JP,tt0473658
InuYasha the Movie: Affections Touching Across Time,Movie,2001,Action & Adventure | Anime Features | International Movies,Netflix,TV-PG,7.2,3002.0,ES,tt0322645
Nailed It,TV Show,2021,Reality TV,Netflix,TV-PG,,,,
Naruto Shippuden the Movie: Blood Prison,Movie,2011,Action & Adventure | Anime Features | International Movies,Netflix,TV-14,7.1,6522.0,EC,tt1999167
Naruto Shippûden the Movie: Bonds,Movie,2008,Action & Adventure | Anime Features | International Movies,Netflix,TV-PG,,,,
Naruto Shippûden the Movie: The Will of Fire,Movie,2009,Action & Adventure | Anime Features | International Movies,Netflix,TV-PG,,,,
Naruto Shippuden: The Movie,Movie,2007,Action & Adventure | Anime Features | International Movies,Netflix,TV-PG,6.7,5503.0,EC,tt0988982
Naruto Shippuden: The Movie: The Lost Tower,Movie,2010,Action & Adventure | Anime Features | International Movies,Netflix,TV-14,6.8,5007.0,FR,tt1703048
Naruto the Movie 2: Legend of the Stone of Gelel,Movie,2005,Action & Adventure | Anime Features | International Movies,Netflix,TV-PG,6.3,5842.0,IN,tt0791188
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,2006,Action & Adventure | Anime Features | International Movies,Netflix,TV-PG,6.3,5437.0,ES,tt1071815
Naruto the Movie: Ninja Clash in the Land of Snow,Movie,2004,Action & Adventure | Anime Features | International Movies,Netflix,TV-PG,6.6,9140.0,BR,tt0476680
Nightbooks,Movie,2021,Children & Family Movies,Netflix,TV-PG,5.8,11330.0,ID,tt10521144
Numberblocks,TV Show,2021,Kids' TV,Netflix,TV-Y,,,,
Raja Rasoi Aur Anya Kahaniyan,TV Show,2014,Docuseries | International TV Shows,Netflix,TV-G,8.9,415.0,AE,tt6953924
Saved by the Bell,TV Show,1994,Kids' TV | TV Comedies,Netflix,TV-PG,,,,
Schumacher,Movie,2021,Documentaries | International Movies | Sports Movies,Netflix,TV-14,7.4,27141.0,TR,tt10322274
Stories by Rabindranath Tagore,TV Show,2015,International TV Shows | TV Dramas,Netflix,TV-PG,8.6,1545.0,TH,tt4853764
Too Hot To Handle: Latino,TV Show,2021,International TV Shows | Reality TV | Romantic TV Shows,Netflix,TV-MA,5.2,503.0,AR,tt15251764
A StoryBots Space Adventure,Movie,2021,Children & Family Movies,Netflix,TV-Y,,,,
Jack Whitehall: Travels with My Father,TV Show,2021,British TV Shows | Docuseries | International TV Shows,Netflix,TV-MA,,,,
King of Boys,Movie,2018,Dramas | International Movies,Netflix,TV-MA,6.3,546.0,NG,tt8329618
The World's Most Amazing Vacation Rentals,TV Show,2021,Reality TV,Netflix,TV-PG,6.8,1710.0,CA,tt14691382
You vs. Wild: Out Cold,Movie,2021,Children & Family Movies,Netflix,TV-G,,,,
Yowamushi Pedal,TV Show,2013,Anime Series | International TV Shows,Netflix,TV-14,7.6,1147.0,MX,tt2942228
Little Singham - Black Shadow,Movie,2021,Children & Family Movies | Comedies,Netflix,TV-Y7,,,,
Tughlaq Durbar,Movie,2020,Comedies | Dramas | International Movies,Netflix,TV-14,5.3,2164.0,AE,tt9769668
Tughlaq Durbar (Telugu),Movie,2021,Comedies | Dramas | International Movies,Netflix,TV-14,5.3,2164.0,AE,tt9769668
Firedrake the Silver Dragon,Movie,2021,Children & Family Movies,Netflix,TV-Y7,,,,
Kate,Movie,2021,Action & Adventure,Netflix,R,6.3,75586.0,SG,tt7737528
Lucifer,TV Show,2021,Crime TV Shows | TV Comedies | TV Dramas,Netflix,TV-14,,,,
Metal Shop Masters,TV Show,2021,Reality TV,Netflix,TV-MA,5.7,729.0,MX,tt15216520
Omo Ghetto: the Saga,Movie,2020,Action & Adventure | Comedies | Dramas,Netflix,TV-MA,5.4,114.0,GB,tt14099462
Pokémon Master Journeys: The Series,TV Show,2021,Anime Series | Kids' TV,Netflix,TV-Y7,7.4,630.0,IN,tt15416672
Prey,Movie,2021,International Movies | Thrillers,Netflix,TV-MA,4.4,10053.0,IN,tt15198608
Titipo Titipo,TV Show,2019,Kids' TV | Korean TV Shows,Netflix,TV-Y,6.6,50.0,ID,tt12987396
Blood Brothers: Malcolm X & Muhammad Ali,Movie,2021,Documentaries | Sports Movies,Netflix,PG-13,6.9,1290.0,NL,tt15095938
Mighty Raju,TV Show,2017,Kids' TV,Netflix,TV-Y7,,,,
Paradise Hills,Movie,2019,Sci-Fi & Fantasy | Thrillers,Netflix,TV-MA,5.2,18632.0,AU,tt6127004
The Women and the Murderer,Movie,2021,Documentaries | International Movies,Netflix,TV-14,6.5,1727.0,FR,tt15216504
Into the Night,TV Show,2021,International TV Shows | TV Dramas | TV Mysteries,Netflix,TV-MA,7.0,38447.0,ZA,tt10919486
JJ+E,Movie,2021,Dramas | International Movies | Romantic Movies,Netflix,TV-MA,5.4,2803.0,SE,tt12299824
Show Dogs,Movie,2018,Children & Family Movies | Comedies,Netflix,PG,4.0,5291.0,IN,tt5691024
The Circle,TV Show,2021,Reality TV,Netflix,TV-MA,7.2,9110.0,TR,tt9581768
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Movie,2018,Documentaries | Music & Musicals,Netflix,TV-MA,7.8,1740.0,US,tt6214722
Kid Cosmic,TV Show,2021,Kids' TV | TV Comedies | TV Sci-Fi & Fantasy,Netflix,TV-Y7,7.9,1957.0,US,tt9248538
Octonauts: Above & Beyond,TV Show,2021,British TV Shows | Kids' TV,Netflix,TV-Y,7.2,230.0,SG,tt15211330
On the Verge,TV Show,2021,TV Comedies | TV Dramas,Netflix,TV-MA,6.5,3854.0,CA,tt5540990
Tobot Galaxy Detectives,TV Show,2019,Kids' TV,Netflix,TV-Y7,,,,
Untold: Breaking Point,Movie,2021,Documentaries | Sports Movies,Netflix,TV-MA,,,,
Countdown: Inspiration4 Mission to Space,TV Show,2021,Docuseries | Science & Nature TV,Netflix,TV-14,7.8,2158.0,US,tt15166116
Shadow Parties,Movie,2020,Dramas | International Movies | Thrillers,Netflix,TV-MA,,,,
Tayo the Little Bus,TV Show,2016,Kids' TV | Korean TV Shows,Netflix,TV-Y,,,,
Angamaly Diaries,Movie,2017,Action & Adventure | Comedies | Dramas,Netflix,TV-14,7.9,7011.0,DE,tt6167894
Bunk'd,TV Show,2021,Kids' TV | TV Comedies,Netflix,TV-G,,,,
A Champion Heart,Movie,2018,Children & Family Movies | Dramas,Netflix,G,6.1,478.0,GB,tt4738912
Dive Club,TV Show,2021,Kids' TV | TV Dramas | Teen TV Shows,Netflix,TV-G,6.2,1410.0,IN,tt13275052
La casa de papel,TV Show,2021,Crime TV Shows | International TV Shows | Spanish-Language TV Shows,Netflix,TV-MA,,,,
Money Heist: From Tokyo to Berlin,TV Show,2021,Docuseries | International TV Shows | Spanish-Language TV Shows,Netflix,TV-MA,7.6,1380.0,ES,tt15384346
Sharkdog,TV Show,2021,Kids' TV,Netflix,TV-Y,6.0,282.0,IN,tt12211696
Worth,Movie,2021,Dramas,Netflix,PG-13,6.8,20196.0,ZA,tt8009744
Afterlife of the Party,Movie,2021,Comedies | Romantic Movies,Netflix,TV-PG,5.8,11492.0,NL,tt11742798
Anjaam,Movie,1994,Dramas | International Movies | Thrillers,Netflix,TV-14,6.6,7722.0,AU,tt0109134
Bright Star,Movie,2009,Dramas | Romantic Movies,Netflix,PG,6.9,29457.0,GB,tt0810784
Dhanak,Movie,2015,Comedies | Dramas | Independent Movies,Netflix,TV-PG,7.8,4725.0,AU,tt4088588
Final Account,Movie,2021,Documentaries,Netflix,PG-13,7.3,1915.0,KR,tt12789212
Gurgaon,Movie,2017,Dramas | International Movies | Thrillers,Netflix,TV-14,6.4,2606.0,AE,tt4699202
Here and There,Movie,2020,Dramas | International Movies | Romantic Movies,Netflix,TV-MA,5.8,113.0,PH,tt14766058
Heroes of Goo Jit Zu,TV Show,2021,Kids' TV | TV Comedies,Netflix,TV-Y7,,,,
Hotel Del Luna,TV Show,2019,International TV Shows | Romantic TV Shows | TV Comedies,Netflix,TV-14,8.1,17147.0,SG,tt10220588
In the Cut,Movie,2003,Thrillers,Netflix,R,5.4,27494.0,EG,tt0199626
Luv Kushh,TV Show,2012,Kids' TV,Netflix,TV-Y7,8.2,14.0,IN,tt30393873
Pororo - The Little Penguin,TV Show,2013,Kids' TV | Korean TV Shows,Netflix,TV-Y7,,,,
Q-Force,TV Show,2021,Crime TV Shows | TV Action & Adventure | TV Comedies,Netflix,TV-MA,6.7,6955.0,CA,tt10140028
Shikara,Movie,2020,Dramas | International Movies | Romantic Movies,Netflix,TV-14,3.4,15589.0,US,tt10930586
A Cinderella Story,Movie,2004,Children & Family Movies | Comedies,Netflix,PG,5.9,99758.0,GB,tt0356470
Agatha Christie's Crooked House,Movie,2017,Dramas | International Movies | Thrillers,Netflix,PG-13,6.3,29678.0,NL,tt1869347
An Unfinished Life,Movie,2005,Dramas,Netflix,PG-13,7.0,35644.0,IN,tt0350261
Barbie Big City Big Dreams,Movie,2021,Children & Family Movies | Music & Musicals,Netflix,TV-Y,,,,
Blade Runner: The Final Cut,Movie,1982,Action & Adventure | Classic Movies | Cult Movies,Netflix,R,8.1,867750.0,US,tt0083658
Brave Animated Series,TV Show,2021,International TV Shows | TV Action & Adventure | TV Comedies,Netflix,TV-MA,7.7,64.0,CA,tt17545256
Chappie,Movie,2015,Action & Adventure | Sci-Fi & Fantasy,Netflix,R,6.8,280833.0,TH,tt1823672
Clear and Present Danger,Movie,1994,Action & Adventure | Dramas,Netflix,PG-13,6.9,114338.0,EC,tt0109444
Cliffhanger,Movie,1993,Action & Adventure,Netflix,R,6.5,146401.0,GB,tt0106582
Cold Mountain,Movie,2003,Dramas | Romantic Movies,Netflix,R,7.2,162394.0,BR,tt0159365
Crocodile Dundee in Los Angeles,Movie,2001,Action & Adventure | Comedies,Netflix,PG,4.8,27219.0,ZA,tt0231402
Dear John,Movie,2010,Dramas | Romantic Movies,Netflix,PG-13,6.3,162333.0,IT,tt0989757
Do the Right Thing,Movie,1989,Classic Movies | Comedies | Dramas,Netflix,R,8.0,121574.0,FI,tt0097216
"El patrón, radiografía de un crimen",Movie,2014,Dramas | International Movies | Thrillers,Netflix,TV-MA,7.3,2876.0,AR,tt3854234
Extraction,Movie,2015,Action & Adventure,Netflix,R,4.1,12353.0,GB,tt4382872
Freedom Writers,Movie,2007,Dramas,Netflix,PG-13,7.6,91530.0,FI,tt0463998
Green Lantern,Movie,2011,Action & Adventure | Sci-Fi & Fantasy,Netflix,PG-13,5.5,306059.0,EC,tt1133985
House Party,Movie,1990,Comedies | Cult Movies,Netflix,R,6.5,17683.0,CA,tt0099800
House Party 2,Movie,1991,Comedies | Cult Movies | Music & Musicals,Netflix,R,5.3,7366.0,US,tt0102065
House Party 3,Movie,1994,Comedies | Music & Musicals,Netflix,R,4.7,5775.0,US,tt0110064
How to Be a Cowboy,TV Show,2021,Reality TV,Netflix,TV-PG,7.4,214.0,IN,tt13438900
HQ Barbers,TV Show,2020,TV Shows,Netflix,TV-14,,,,
I Got the Hook Up,Movie,1998,Action & Adventure | Comedies,Netflix,R,4.1,2504.0,US,tt0131436
In Too Deep,Movie,1999,Thrillers,Netflix,R,6.2,7432.0,ZA,tt0160401
Initial D,Movie,2005,Action & Adventure | International Movies,Netflix,TV-14,6.4,10422.0,EC,tt0439630
Janoskians: Untold and Untrue,Movie,2016,Comedies,Netflix,TV-MA,3.7,192.0,US,tt4841640
Kid-E-Cats,TV Show,2016,Kids' TV,Netflix,TV-Y,6.5,250.0,US,tt7038964
Kuroko's Basketball,TV Show,2015,Anime Series | International TV Shows | Teen TV Shows,Netflix,TV-MA,,,,
Labyrinth,Movie,1986,Action & Adventure | Children & Family Movies | Cult Movies,Netflix,PG,7.3,160540.0,ID,tt0091369
Letters to Juliet,Movie,2010,Comedies | Dramas | Romantic Movies,Netflix,PG,6.5,111254.0,CA,tt0892318
Level 16,Movie,2018,Sci-Fi & Fantasy | Thrillers,Netflix,TV-14,6.1,18621.0,FR,tt4006302
Love Don't Cost a Thing,Movie,2003,Comedies | Romantic Movies,Netflix,PG-13,5.3,9995.0,US,tt0337592
Love in a Puff,Movie,2010,Comedies | Dramas | International Movies,Netflix,TV-MA,7.1,3025.0,HK,tt1602479
Major Dad,TV Show,1992,TV Comedies,Netflix,TV-PG,,,,
Mars Attacks!,Movie,1996,Comedies | Cult Movies | Sci-Fi & Fantasy,Netflix,PG-13,6.4,255410.0,ZA,tt0116996
Marshall,Movie,2017,Dramas,Netflix,PG-13,7.3,28359.0,US,tt5301662
My Boss's Daughter,Movie,2003,Comedies | Romantic Movies,Netflix,R,4.7,31439.0,SG,tt0270980
Mystery Men,Movie,1999,Action & Adventure | Comedies,Netflix,PG-13,6.1,73190.0,ES,tt0132347
Oldsters,TV Show,2019,Crime TV Shows | International TV Shows | Spanish-Language TV Shows,Netflix,TV-MA,,,,
Once Upon a Time in America,Movie,1984,Classic Movies | Dramas,Netflix,R,8.3,401862.0,IT,tt0087843
Open Season 2,Movie,2008,Children & Family Movies | Comedies,Netflix,PG,5.5,28549.0,ZA,tt1107365
Osmosis Jones,Movie,2001,Action & Adventure | Children & Family Movies | Comedies,Netflix,PG,6.3,40832.0,ES,tt0181739
Poseidon,Movie,2006,Action & Adventure | Dramas,Netflix,PG-13,5.7,114380.0,US,tt0409182
Rhyme & Reason,Movie,1997,Documentaries | Music & Musicals,Netflix,R,7.4,948.0,GB,tt0120014
Same Kind of Different as Me,Movie,2017,Dramas | Faith & Spirituality,Netflix,PG-13,6.6,9031.0,US,tt1230168
School of Rock,Movie,2003,Comedies | Music & Musicals,Netflix,PG-13,7.2,351636.0,AU,tt0332379
Snervous Tyler Oakley,Movie,2015,Documentaries | LGBTQ Movies,Netflix,PG-13,5.5,483.0,US,tt5073746
Tears of the Sun,Movie,2003,Action & Adventure | Dramas,Netflix,R,6.6,136046.0,AE,tt0314353
The Blue Lagoon,Movie,1980,Dramas | Romantic Movies,Netflix,R,5.8,81854.0,ID,tt0080453
The Golden Child,Movie,1986,Action & Adventure | Comedies,Netflix,PG-13,6.0,62473.0,JP,tt0091129
The Guns of Navarone,Movie,1961,Action & Adventure | Classic Movies,Netflix,TV-14,7.5,58702.0,IL,tt0054953
The Interview,Movie,2014,Action & Adventure | Comedies,Netflix,R,6.5,371832.0,TH,tt2788710
The Nutty Professor,Movie,1996,Comedies | Romantic Movies,Netflix,PG-13,5.7,129227.0,EG,tt0117218
The Nutty Professor II: The Klumps,Movie,2000,Comedies | Romantic Movies,Netflix,PG-13,4.5,55064.0,GB,tt0144528
Turning Point: 9/11 and the War on Terror,TV Show,2021,Docuseries,Netflix,TV-14,7.9,12873.0,IN,tt15260794
Welcome Home Roscoe Jenkins,Movie,2008,Comedies,Netflix,PG-13,5.5,16470.0,AU,tt0494652
In the Line of Fire,Movie,1993,Action & Adventure | Classic Movies,Netflix,R,7.2,120925.0,IN,tt0107206
Sparking Joy,TV Show,2021,Reality TV,Netflix,TV-PG,6.5,546.0,NL,tt14550060
Untold: Crime & Penalties,Movie,2021,Documentaries | Sports Movies,Netflix,TV-MA,,,,
Hometown Cha-Cha-Cha,TV Show,2021,International TV Shows | Romantic TV Shows | TV Comedies,Netflix,TV-14,8.3,26884.0,KR,tt14518756
The Ingenuity of the Househusband,TV Show,2021,International TV Shows | TV Comedies,Netflix,TV-G,6.7,623.0,ID,tt15170710
2 Alone in Paris,Movie,2008,Comedies | International Movies,Netflix,TV-MA,5.4,2922.0,FR,tt1077097
Bread Barbershop,TV Show,2020,Kids' TV | TV Comedies,Netflix,TV-Y,6.5,309.0,IT,tt12912830
Thimmarusu,Movie,2021,Dramas | International Movies,Netflix,TV-14,7.1,1799.0,AE,tt13310936
Wind River,Movie,2017,Dramas | Independent Movies,Netflix,R,7.7,305446.0,CA,tt5362988
C Kkompany,Movie,2008,Action & Adventure | Comedies | International Movies,Netflix,TV-14,5.5,1467.0,IN,tt1170399
D.P.,TV Show,2021,International TV Shows | TV Dramas,Netflix,TV-MA,8.2,11566.0,EG,tt13024974
Deadly Sins,TV Show,2002,International TV Shows | Spanish-Language TV Shows | TV Dramas,Netflix,TV-MA,8.2,252.0,US,tt0355119
EMI: Liya Hai To Chukana Padega,Movie,2008,Comedies | Dramas | International Movies,Netflix,TV-14,4.4,699.0,IN,tt1221133
He's All That,Movie,2021,Comedies | Romantic Movies,Netflix,TV-14,4.4,31582.0,CA,tt4590256
I Heart Arlo,TV Show,2021,Kids' TV | TV Comedies,Netflix,TV-Y7,6.8,304.0,CA,tt13573450
King of Boys: The Return of the King,TV Show,2021,Crime TV Shows | International TV Shows | TV Dramas,Netflix,TV-MA,6.7,345.0,CA,tt15192042
Koi Aap Sa,Movie,2006,Comedies | Dramas | International Movies,Netflix,TV-14,,,,
Krishna Cottage,Movie,2004,Action & Adventure | Horror Movies | International Movies,Netflix,TV-14,5.3,1640.0,DE,tt0408976
Kucch To Hai,Movie,2003,Dramas | International Movies | Thrillers,Netflix,TV-14,4.4,1075.0,IN,tt0348662
Kyaa Kool Hai Hum,Movie,2005,Comedies | International Movies | Music & Musicals,Netflix,TV-MA,6.1,4065.0,AE,tt0456500
Kyaa Kool Hain Hum 3,Movie,2016,Comedies | International Movies,Netflix,TV-MA,2.0,4652.0,JP,tt5290620
Kyaa Super Kool Hain Hum,Movie,2012,Comedies | International Movies,Netflix,TV-MA,5.0,4363.0,IN,tt2027138
Kyo Kii... Main Jhuth Nahin Bolta,Movie,2001,Comedies | International Movies | Sci-Fi & Fantasy,Netflix,TV-14,5.5,2883.0,IN,tt0297241
"LSD: Love, Sex Aur Dhokha",Movie,2010,Dramas | Independent Movies | International Movies,Netflix,TV-MA,7.1,6480.0,AE,tt1608777
Mission Istaanbul: Darr Ke Aagey Jeet Hai,Movie,2008,Action & Adventure | International Movies | Music & Musicals,Netflix,TV-14,3.5,1319.0,IN,tt1179781
Once Upon a Time in Mumbaai,Movie,2010,Dramas | International Movies | Music & Musicals,Netflix,TV-14,7.4,20398.0,US,tt1395054
Once Upon a Time in Mumbai Dobaara!,Movie,2013,Dramas | International Movies | Music & Musicals,Netflix,TV-14,4.4,7920.0,IN,tt1891884
Ragini MMS,Movie,2011,Horror Movies | International Movies,Netflix,TV-MA,5.1,2989.0,AE,tt1890513
Ragini MMS 2,Movie,2014,Horror Movies | International Movies,Netflix,TV-MA,3.9,3258.0,US,tt2609218
Rebellion,TV Show,2016,International TV Shows | TV Dramas,Netflix,TV-MA,7.1,4896.0,US,tt4699982
RIDE ON TIME,TV Show,2021,Docuseries | International TV Shows,Netflix,TV-PG,,,,
SAS: Rise of the Black Swan,Movie,2021,Action & Adventure | International Movies,Netflix,R,5.3,23047.0,AU,tt4479380
Shootout at Lokhandwala,Movie,2007,Action & Adventure | Dramas | International Movies,Netflix,TV-MA,7.1,11432.0,GB,tt0811066
Shor In the City,Movie,2011,Comedies | Dramas | Independent Movies,Netflix,TV-14,7.2,4275.0,US,tt1916728
The Dirty Picture,Movie,2011,Comedies | Dramas | International Movies,Netflix,TV-14,6.5,11082.0,CA,tt1954206
Titletown High,TV Show,2021,Reality TV | Teen TV Shows,Netflix,TV-14,5.8,464.0,DE,tt15192032
EDENS ZERO,TV Show,2021,Anime Series | International TV Shows,Netflix,TV-14,7.1,2493.0,FR,tt13167196
Family Reunion,TV Show,2021,Kids' TV | TV Comedies,Netflix,TV-PG,,,,
"Bob Ross: Happy Accidents, Betrayal & Greed",Movie,2021,Documentaries,Netflix,TV-14,6.9,7062.0,SG,tt14539744
Clickbait,TV Show,2021,Crime TV Shows | TV Dramas | TV Mysteries,Netflix,TV-MA,7.2,66382.0,ZA,tt10888878
John of God: The Crimes of a Spiritual Healer,TV Show,2021,Crime TV Shows | Docuseries | International TV Shows,Netflix,TV-MA,6.5,1110.0,SG,tt15233856
Motel Makeover,TV Show,2021,International TV Shows | Reality TV,Netflix,TV-14,5.0,894.0,IT,tt15128558
Open Your Eyes,TV Show,2021,International TV Shows | TV Dramas | TV Mysteries,Netflix,TV-MA,6.6,2139.0,PL,tt13495314
Post Mortem: No One Dies in Skarnes,TV Show,2021,International TV Shows | TV Comedies | TV Dramas,Netflix,TV-MA,7.0,4595.0,NL,tt13053222
Really Love,Movie,2020,Dramas | Independent Movies | Romantic Movies,Netflix,TV-MA,6.2,1276.0,IN,tt8722624
The November Man,Movie,2014,Action & Adventure,Netflix,R,6.3,72650.0,IN,tt2402157
The Old Ways,Movie,2020,Horror Movies,Netflix,TV-MA,5.4,8776.0,DE,tt12829958
The River Runner,Movie,2021,Documentaries | Sports Movies,Netflix,TV-MA,6.9,2127.0,US,tt15293256
The Water Man,Movie,2021,Children & Family Movies | Dramas,Netflix,PG,5.6,4841.0,ID,tt4779326
Wheel of Fortune,TV Show,2019,Reality TV,Netflix,TV-G,,,,
Count Me In,Movie,2021,Documentaries | Music & Musicals,Netflix,TV-MA,6.8,2398.0,JP,tt6889042
Oggy Oggy,TV Show,2021,Kids' TV | TV Comedies,Netflix,TV-Y,6.3,107.0,ID,tt11194006
Untold: Caitlyn Jenner,Movie,2021,Documentaries | LGBTQ Movies | Sports Movies,Netflix,TV-PG,,,,
Boomika,Movie,2021,Horror Movies | International Movies | Thrillers,Netflix,TV-14,5.0,2795.0,IN,tt11073148
