title,type,release_year,genres,platform,content_rating,imdb_rating,imdb_votes,country,tconst
Toy Story Toons: Partysaurus Rex,Movie,2012,Animation | Comedy | Family,Disney+,G,,,,
Toy Story Toons: Small Fry,Movie,2011,Animation | Family | Kids,Disney+,G,,,,
Trail of the Panda,Movie,2009,Action-Adventure | Animals & Nature | Family,Disney+,G,6.2,282.0,CN,tt1247700
Trailer Horn,Movie,1950,Animation | Comedy | Family,Disney+,TV-G,,,,
Treasure Island,Movie,1950,Action-Adventure | Family,Disney+,PG,6.9,10373.0,US,tt0043067
Treasure of Matecumbe,Movie,1976,Action-Adventure | Family | Mystery,Disney+,G,6.0,1137.0,AU,tt0075347
Treasure Planet,Movie,2002,Action-Adventure | Animation | Family,Disney+,PG,7.2,144651.0,IL,tt0133240
Tree Climbing Lions,Movie,2018,Animals & Nature | Documentary | Family,Disney+,TV-PG,,,,
Tron,Movie,1982,Action-Adventure | Family | Science Fiction,Disney+,PG,6.7,141762.0,UZ,tt0084827
Tru Confessions,Movie,2002,Coming of Age | Drama,Disney+,TV-G,,,,
Tuck Everlasting,Movie,2002,Coming of Age | Drama | Fantasy,Disney+,PG,6.6,26523.0,ZA,tt0283084
Tugboat Mickey,Movie,1940,Animation | Comedy | Family,Disney+,TV-G,,,,
Twas the Night,Movie,2001,Comedy | Crime | Fantasy,Disney+,TV-G,,,,
Twitches,Movie,2005,Comedy | Fantasy,Disney+,TV-PG,,,,
Twitches Too,Movie,2007,Comedy | Fantasy,Disney+,TV-PG,,,,
Unidentified Flying Oddball,Movie,1979,Action-Adventure | Comedy | Family,Disney+,G,5.2,1507.0,AU,tt0080062
Up,Movie,2009,Action-Adventure | Animation | Buddy,Disney+,PG,8.3,1207843.0,ID,tt1049413
"Up, Up and Away",Movie,2000,Comedy | Coming of Age | Fantasy,Disney+,TV-G,,,,
Valiant,Movie,2005,Action-Adventure | Animation | Comedy,Disney+,G,5.5,25504.0,EC,tt0361089
Waking Sleeping Beauty,Movie,2010,Documentary,Disney+,PG,7.5,3395.0,US,tt1159961
WALL-E,Movie,2008,Action-Adventure | Animation | Family,Disney+,G,8.4,1288065.0,TH,tt0910970
Wendy Wu: Homecoming Warrior,Movie,2006,Action-Adventure | Coming of Age | Fantasy,Disney+,TV-PG,,,,
